Repetition,folder,TrAcc,TrAUC,TeACC,TeAUC,Sen,Spe,TrTime,TeTime
11,4,0.782865583456425,0.933635045264214,0.745562130177515,0.924703263175612,0,0,0.0611182,0.008772
11,5,0.774002954209749,0.931841062446674,0.78698224852071,0.934671254425649,0,0,0.0613932,0.0084935
12,1,0.778434268833087,0.932900272508963,0.745562130177515,0.927930466075368,0,0,0.0617518,0.0089355
12,2,0.773668639053254,0.935193438374805,0.752941176470588,0.915767112955815,0,0,0.0586852,0.0088246
12,3,0.781388478581979,0.934135265624656,0.763313609467456,0.919230521198064,0,0,0.063711,0.0092245
12,4,0.771048744460857,0.92980930761878,0.816568047337278,0.940150802700931,0,0,0.0601268,0.0091011
12,5,0.787296898079764,0.933491927495287,0.751479289940828,0.922505285544381,0,0,0.0615329,0.0093672
13,1,0.779911373707533,0.928059965870422,0.763313609467456,0.944589280030246,0,0,0.0677532,0.0090097
13,2,0.785502958579882,0.934308684523503,0.758823529411765,0.920116435795684,0,0,0.060418,0.0087919
13,3,0.763663220088626,0.931717057268249,0.792899408284024,0.932532697815522,0,0,0.0688998,0.0087775
13,4,0.787296898079764,0.936193574223692,0.72189349112426,0.914662704027747,0,0,0.0771142,0.0088226
13,5,0.787296898079764,0.935683109336429,0.733727810650888,0.913875988876126,0,0,0.0593957,0.008982
14,1,0.766617429837518,0.932364307161033,0.781065088757396,0.929187706747635,0,0,0.0604799,0.0087729
14,2,0.77810650887574,0.929840459164279,0.770588235294118,0.934822122830272,0,0,0.0607267,0.0087817
14,3,0.784342688330872,0.934312675958791,0.763313609467456,0.920041229518615,0,0,0.0587268,0.0087405
14,4,0.790251107828656,0.933463828703411,0.733727810650888,0.920665874152095,0,0,0.0653585,0.009272
14,5,0.791728212703102,0.936376601695037,0.757396449704142,0.914683421905771,0,0,0.0609337,0.0088106
15,1,0.78877400295421,0.934829801029245,0.715976331360947,0.916504277277086,0,0,0.0600733,0.0087742
15,2,0.770710059171598,0.932862720711557,0.805882352941176,0.919924304177074,0,0,0.0609858,0.0091183
15,3,0.781388478581979,0.933060572026034,0.757396449704142,0.927425458181364,0,0,0.0588831,0.0085054
15,4,0.779911373707533,0.931205634328463,0.78698224852071,0.934215583318998,0,0,0.0617878,0.0088307
15,5,0.776957163958641,0.934778478117486,0.745562130177515,0.919546954952512,0,0,0.0617256,0.0088361
16,1,0.779911373707533,0.934155129912345,0.751479289940828,0.920319427342683,0,0,0.0684648,0.0094931
16,2,0.782544378698225,0.932827820400292,0.764705882352941,0.928096439601315,0,0,0.0622919,0.0090155
16,3,0.782865583456425,0.933853342460451,0.757396449704142,0.923551846056241,0,0,0.059582,0.0088741
16,4,0.769571639586411,0.931923856751868,0.769230769230769,0.928393156127683,0,0,0.0733414,0.0089152
16,5,0.781388478581979,0.933671208062908,0.763313609467456,0.916680494285466,0,0,0.0598745,0.0087665
17,1,0.800590841949778,0.937875305466424,0.70414201183432,0.905902343532039,0,0,0.0738877,0.0091704
17,2,0.772189349112426,0.932296223610369,0.752941176470588,0.929203262581078,0,0,0.0592982,0.0089938
17,3,0.768094534711965,0.933601228416393,0.775147928994083,0.920639602198245,0,0,0.0693921,0.0091149
17,4,0.781388478581979,0.932581439916201,0.757396449704142,0.929328831517625,0,0,0.0684404,0.0084491
17,5,0.772525849335303,0.93008192335921,0.781065088757396,0.935843287889754,0,0,0.0602506,0.0090158
18,1,0.791728212703102,0.932965642892477,0.757396449704142,0.923436802910864,0,0,0.0584225,0.0087008
18,2,0.785502958579882,0.932354746559146,0.776470588235294,0.928260351802057,0,0,0.0622067,0.0091073
18,3,0.768094534711965,0.932738255260638,0.792899408284024,0.935292102295353,0,0,0.0601105,0.0088273
18,4,0.79615952732644,0.938143352766723,0.72189349112426,0.902196245421754,0,0,0.0639095,0.0085576
18,5,0.768094534711965,0.931230777373221,0.781065088757396,0.929957398758031,0,0,0.0647161,0.0091328
19,1,0.800590841949778,0.934336930109649,0.680473372781065,0.888290139596043,0,0,0.0627683,0.0096061
19,2,0.776627218934911,0.932861887341553,0.758823529411765,0.930583388983293,0,0,0.0596871,0.009275
19,3,0.771048744460857,0.930483406375729,0.792899408284024,0.928085207966869,0,0,0.0602481,0.009133
19,4,0.769571639586411,0.929916725559186,0.78698224852071,0.939337320744526,0,0,0.0726002,0.0088986
19,5,0.774002954209749,0.934060094938943,0.751479289940828,0.919353689998581,0,0,0.0688446,0.0093409
20,1,0.771048744460857,0.931152991696156,0.78698224852071,0.933280565786827,0,0,0.0620307,0.0088151
20,2,0.770710059171598,0.932027715219893,0.776470588235294,0.931801080755599,0,0,0.0639715,0.0091273
20,3,0.782865583456425,0.933573703528391,0.798816568047337,0.924708308395911,0,0,0.0614796,0.0090797
20,4,0.775480059084195,0.933779089025634,0.763313609467456,0.926186156302344,0,0,0.0635573,0.009312
20,5,0.785819793205318,0.936091136760714,0.698224852071006,0.910831308744969,0,0,0.0599647,0.0088025
10.5,3,0.779668984293743,0.933051078579004,0.759814479638009,0.923885887263063,0,0,0.063783905,0.009116066
5.79533075724402,1.4213381090374,0.00808747322596868,0.0025831997633963,0.0268622963519711,0.00918094901633148,0,0,0.00609331630508487,0.000882713489582497
